Bedrooms Number;Street;Bookingcom Property Room Name;Square Meters;Bathroom Type;Check In Time Start;Price;Booking Window;Property Type Id;City;Name;Min Nights;Cleaning Fee;Zipcode;Bathrooms Number;Number Of Units;Person Capacity;Listing Map Id;Address;Cancellation Policy;Room Type;Inserted On;Beds Number
2;Budapest  Gyulai Pál utca 12;Apartment;67;private;15:00:00;210;;1;Budapest;Palace District /w Gallery | Pink Flamingo;1;100;1085;2;1;10;233285;Budapest  Gyulai Pál utca 12 2. emelet / 17;flexible;entire_home;2024.01.18 10:34;5
1;Budapest  Király utca 14;Apartment;73;private;15:00:00;84;;1;Budapest;Central base w/ Private Patio | Pink Flamingo;2;80;1061;1;1;6;233286;Budapest  Király utca 14;flexible;entire_home;2024.01.18 10:47;3
1;Budapest  Weiner Leó utca 7;Apartment;34;private;15:00:00;53;;1;Budapest;Leo Lane Getaway w/ Balcony | Pink Flamingo;2;50;1065;1;1;4;233287;Budapest  Weiner Leó utca 7;flexible;entire_home;2024.01.18 10:56;2
1;Budapest  Vas utca 5;Apartment;43;private;15:00:00;95;;1;Budapest;New bright flat with terrace | Pink Flamingo;2;50;1088;1;1;4;233288;Budapest  Vas utca 5;flexible;entire_home;2024.01.18 11:06;2
2;Budapest  Vas utca 5;Apartment;41;private;15:00:00;105;;1;Budapest;Cosy new flat in Palace District | Pink Flamingo;2;47.33;1088;1;1;4;233289;Budapest  Vas utca 5;flexible;entire_home;2024.01.18 11:06;4
2;Budapest  Bajcsy-Zsilinszky út 59;Apartment;105;private;15:00:00;176;;1;Budapest;Brand new modern flat | Pink Flamingo;2;78.88;1065;2;;5;233291;Budapest  Bajcsy-Zsilinszky út 59;flexible;entire_home;2024.01.18 11:38;2
2;Budapest  Bajcsy-Zsilinszky út 19a;Apartment;108;private;15:00:00;657;;1;Budapest;KING BED Basilica Panorama Luxury | Pink Flamingo;1;80;1065;2;1;6;233307;Budapest  Bajcsy-Zsilinszky út 19a 1st floor 4;flexible;entire_home;2024.01.18 13:10;3
2;Budapest  Nagymező utca 36;Apartment;;private;15:00:00;203;2;1;Budapest;Hard Rock BnB | Pink Flamingo;1;80;1065;2;1;5;248112;Budapest  Nagymező utca 36;flexible;entire_home;2024.03.02 10:05;3
1;Budapest  Jókai utca 12;Apartment;;private;15:00:00;305;9;1;Budapest;Modern Loft-Style Apartment | Pink Flamingo;1;50;1066;1;1;2;257799;Budapest  Jókai utca 12;flexible;entire_home;2024.03.30 10:38;1
1;Budapest  Jókai utca 12;Apartment;;private;15:00:00;305;9;1;Budapest;Trendy Loft Home in Center | Pink Flamingo;1;50;1066;1;1;2;257798;Budapest  Jókai utca 12;flexible;entire_home;2024.03.30 10:38;1
1;Budapest  Dohány utca 37;Apartment;;private;15:00:00;305;9;1;Budapest;Minimal Loft | Pink Flamingo;1;50;1074;1;1;2;257800;Budapest  Dohány utca 37;flexible;entire_home;2024.03.30 10:38;1
1;Budapest  Dohány utca 37;Apartment;;private;15:00:00;305;9;1;Budapest;Unique Style Loft | Pink Flamingo;1;50;1074;1;1;2;257801;Budapest  Dohány utca 37;flexible;entire_home;2024.03.30 10:38;1
2;Bajcsy-Zsilinszky út;Apartment;;private;15:00:00;507;9;1;Budapest;Stylish Avenue Heaven | Pink Flamingo;1;80;1065;2;1;4;263226;Bajcsy-Zsilinszky út 43;flexible;entire_home;2024.04.16 19:25;2
2;Budapest  Bajcsy-Zsilinszky út 19;Apartment;;private;15:00:00;761;9;1;Budapest;Balcony Basilica Luxury Penthouse | Pink Flamingo;1;80;1065;2;1;4;264441;Budapest  Bajcsy-Zsilinszky út 19a;flexible;entire_home;2024.04.20 11:02;2
1;Budapest  Jókai utca 12;Apartment;;private;15:00:00;305;9;1;Budapest;Cosy Quiet Loft | Pink Flamingo;1;50;1066;1;1;2;264956;Budapest  Jókai utca 12;flexible;entire_home;2024.03.30 10:38;1
