Task ID;Status;Reservation ID;Listing;Can start from;Should end by;Cost;Cost currency;Categories
4055338;Cancelled;23440013;Gyulai Pal 12;2024.02.06 11:00;2024.02.08 15:00;;;Cleaning
4138221;Cancelled;23879385;Gyulai Pal 12;2024.03.17 11:00;2024.03.20 15:00;;;Cleaning
4170473;Cancelled;23988856;Bajcsy59;2024.04.01 11:00;2024.04.04 15:00;;;Cleaning
4174232;Cancelled;23385108;Király 14;2024.04.19 11:00;2024.04.20 15:00;;;Cleaning
4174275;Cancelled;23386167;Vas 4 / 2;2024.04.14 11:00;2024.04.18 15:00;;;Cleaning
4174290;Cancelled;23386183;Vas 4 / 2;2024.03.02 11:00;2024.03.15 15:00;;;Cleaning
4174294;Cancelled;23386187;Vas 4 / 2;2024.07.28 11:00;2024.07.28 15:00;;;Cleaning
4174298;Cancelled;23386191;Vas 4 / 2;2024.05.11 11:00;2024.05.16 15:00;;;Cleaning
4212395;Cancelled;24221279;Bajcsy 19;2024.04.07 11:00;2024.04.07 15:00;;;Cleaning
4214337;Cancelled;24229009;Vas 4 / 1;2024.03.29 11:00;2024.03.29 15:00;;;Cleaning
4215882;Cancelled;24236700;Bajcsy59;2024.03.04 11:00;2024.03.09 15:00;;;Cleaning
4230608;Cancelled;24312451;Bajcsy59;2024.03.21 11:00;2024.03.22 15:00;;;Cleaning
4234232;Cancelled;24328886;Gyulai Pal 12;2024.02.24 11:00;2024.02.25 15:00;;;Cleaning
4245736;Cancelled;24383835;Bajcsy59;2024.04.25 11:00;2024.04.26 15:00;;;Cleaning
4252081;Cancelled;24408199;Bajcsy59;2024.04.20 11:00;2024.04.20 15:00;;;Cleaning
4254232;Cancelled;24418681;Lovag 8;2024.02.27 11:00;2024.02.28 15:00;;;Cleaning
4273090;Cancelled;24511285;Vas 4 / 1;2024.04.08 11:00;2024.04.10 15:00;;;Cleaning
4278931;Cancelled;24540606;Gyulai Pal 12;2024.04.22 11:00;2024.04.26 15:00;;;Cleaning
